pair,side,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,size_usd,pnl,pnl_pct,hold_bars,exit_reason
BTC/USDT,short,72,74,75778.0,76522.0,80922.21,65489.57999999999,80.0,-0.7855,-0.009818,2,macd_reversal
BTC/USDT,short,73,82,76707.1,67482.9,76707.1,68276.88,80.0,9.6202,0.120252,9,take_profit
BTC/USDT,short,105,107,68935.0,70962.5,73180.716,60443.568,83.53,-2.4568,-0.029412,2,macd_reversal
BTC/USDT,short,106,122,69567.1,67212.2,73733.76,61233.78000000003,83.53,2.8276,0.033851,16,macd_reversal
BTC/USDT,short,107,122,70962.5,67212.2,70962.5,65419.98000000001,82.55,4.3627,0.052849,15,macd_reversal
BTC/USDT,short,125,129,65793.9,67177.0,70209.048,56963.60399999999,85.43,-1.7959,-0.021022,4,macd_reversal
BTC/USDT,short,126,129,66281.4,67177.0,70209.048,58426.10399999999,85.43,-1.1543,-0.013512,3,macd_reversal
BTC/USDT,short,159,167,67372.7,67056.9,70634.08200000001,60849.93599999997,84.25,0.3949,0.004687,8,macd_reversal
BTC/USDT,short,160,167,67695.9,67056.9,70634.08200000001,61819.535999999964,84.25,0.7953,0.009439,7,macd_reversal
BTC/USDT,long,224,228,67139.4,65770.6,61759.698,77898.80399999999,84.72,-1.7272,-0.020387,4,macd_reversal
BTC/USDT,short,228,232,65770.6,69117.1,69558.288,58195.22400000002,84.03,-4.2756,-0.050881,4,macd_reversal
BTC/USDT,long,229,237,66819.9,67031.5,61759.698,76940.30399999999,84.03,0.2661,0.003167,8,macd_reversal
BTC/USDT,long,232,237,69117.1,67031.5,63750.47,79850.36000000002,82.32,-2.484,-0.030175,5,macd_reversal
BTC/USDT,long,242,250,69490.9,71647.0,64826.51,78819.67999999998,81.43,2.5265,0.031027,8,macd_reversal
BTC/USDT,long,243,250,71111.4,71647.0,64826.51,83681.17999999998,81.43,0.6133,0.007532,7,macd_reversal
BTC/USDT,short,271,278,67204.5,70396.7,69559.30799999999,62494.88400000002,82.69,-3.9278,-0.0475,7,stop_loss
BTC/USDT,short,272,278,67554.1,70396.7,69559.30799999999,63543.68400000004,82.69,-3.4795,-0.042079,6,stop_loss
BTC/USDT,long,287,289,70647.0,69445.3,67891.45999999999,76158.08000000002,79.73,-1.3562,-0.01701,2,macd_reversal
BTC/USDT,long,288,299,70194.8,70926.4,67891.45999999999,74801.48000000003,79.73,0.831,0.010422,11,end_of_data
BTC/USDT,long,289,299,69445.3,70926.4,69445.3,72552.98000000003,79.19,1.6889,0.021328,10,end_of_data
ETH/USDT,short,77,88,2188.46,1980.66,2188.46,1781.58,80.0,7.5962,0.094953,11,macd_reversal
